# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000085,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
000085,27.04.2019 - 03.05.2019,Новые пользователи,360
000086,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,138
000086,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,34
000086,27.04.2019 - 03.05.2019,Новые пользователи,382
000087,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,95
000087,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000087,27.04.2019 - 03.05.2019,Новые пользователи,358
000088,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,109
000088,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,43
000088,27.04.2019 - 03.05.2019,Новые пользователи,377
000089,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,77
000089,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
000089,27.04.2019 - 03.05.2019,Новые пользователи,217
000090,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,170
000090,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,17
000090,27.04.2019 - 03.05.2019,Новые пользователи,305
000091,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,96
000091,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000091,27.04.2019 - 03.05.2019,Новые пользователи,267
000092,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,169
000092,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000092,27.04.2019 - 03.05.2019,Новые пользователи,280
000093,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,109
000093,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000093,27.04.2019 - 03.05.2019,Новые пользователи,206
000094,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,107
000094,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000094,27.04.2019 - 03.05.2019,Новые пользователи,267
000095,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,88
000095,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,40
000095,27.04.2019 - 03.05.2019,Новые пользователи,319
000096,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,98
000096,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000096,27.04.2019 - 03.05.2019,Новые пользователи,165
000097,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,41
000097,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000097,27.04.2019 - 03.05.2019,Новые пользователи,142
000098,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,67
000098,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000098,27.04.2019 - 03.05.2019,Новые пользователи,104
000099,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,77
000099,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000099,27.04.2019 - 03.05.2019,Новые пользователи,105
000100,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,81
000100,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
000100,27.04.2019 - 03.05.2019,Новые пользователи,226
000101,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,46
000101,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000101,27.04.2019 - 03.05.2019,Новые пользователи,151
000102,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,98
000102,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000102,27.04.2019 - 03.05.2019,Новые пользователи,244
